source_name,n_detections,n_classified,n_abstained,final_classification,agreement_count,agreement_rate,n_unique_classes,all_classes,avg_confidence_final_class,avg_confidence_all,interestingness_score,bmu_x,bmu_y,edge_bmu,truncated_R
2CXO J230722.7-224034,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.6345,0.6345,0.0,25,27,False,False
2CXO J230744.9-223808,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7288,0.7288,0.0,5,16,False,False
2CXO J230834.8-223503,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.8551,0.8551,0.0,7,22,False,False
2CXO J231144.8-214027,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,27,19,False,False
2CXO J231150.0+034419,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.585,0.585,0.0,33,8,False,False
2CXO J231555.5-423221,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,10,30,False,False
2CXO J231758.1+425633,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,26,17,False,False
2CXO J231838.5+425259,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.8435,0.8435,0.0,20,5,False,False
2CXO J231906.8+424902,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,7,38,False,False
2CXO J231925.0+425425,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7407,0.7407,0.0,19,6,False,False
2CXO J232323.7+585028,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,39,0,True,True
2CXO J232550.7-121601,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,19,13,False,False
2CXO J232722.9-020126,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.736,0.736,0.0,10,8,False,False
2CXO J232746.3-021020,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,12,9,False,False
2CXO J232757.2-020951,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6319,0.6319,0.0,3,17,False,False
2CXO J233108.6-504953,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.5806,0.5806,0.0,34,10,False,False
2CXO J233150.7-505927,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,23,3,False,False
2CXO J233426.7-360520,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.5903,0.5903,0.0,4,3,False,False
2CXO J233427.5-361104,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7004,0.7004,0.0,23,16,False,False
